index,frame,group,user_add_mean,user_add_sd,user_del_mean,user_del_sd,user_speak_mean,user_speak_sd,user_turns_mean,user_turns_sd,user_speech,write_text,user_wh_mean,user_self_mean,user_us_mean,user_yes_mean,user_thanks_mean,user_wh_sd,user_self_sd,user_us_sd,user_yes_sd,user_thanks_sd,session,language,learning_design,time,students,class,teacher,subject
10,11,87_1,4,4.784233364802441,1,0.9428090415820634,3.986666666666667,1.1020418423191665,2,0.816496580927726,"re not satisfied with you and you want to send it back then it can be a hassle""] what do you mean by returns can be complicated in my refund I guess what do you mean by Brick","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, easier, more control, easier price comparisions, more private, (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated (refund), <br/>",0,2,0,0,0,0.4714045207910317,0.816496580927726,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
11,12,87_1,16,20.54263858417414,3,5.185449728701348,7.578,2.561475746518011,2,0.4714045207910317,unfriendly a fun is not refunding I mean do you find this getting back there Monday but,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, easier, more control, easier price comparisions, more private, (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites<br/>",0,4,0,1,0,0.4714045207910317,0.9428090415820634,0.0,1.4142135623730951,0.0,87,eng,role-based,morning,6,C1,T15,english
12,13,87_1,12,8.73053390247253,3,4.4969125210773475,7.6080000000000005,2.7354624228211697,2,0.0,"s longer so"",  cringey complicated websites Broach B gummy bear size","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, easier, more control, easier price comparisions, more private, (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sa <br/><br/><br/>",0,1,0,0,0,0.0,0.816496580927726,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
13,14,87_1,18,20.997354330698162,3,2.8674417556808756,1.5296666666666667,2.1632753459100447,0,0.4714045207910317,weather,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, easier, more control, easier price comparisions, more discreet. (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers.<br/><br/><br/>",0,0,0,0,0,0.0,0.9428090415820634,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
14,15,87_1,0,0.0,0,0.0,8.931333333333333,0.9623867321520092,5,0.816496580927726,"s just a page of the"",  write the essay the desk is here soon as I click on it four points right off the basket here",,0,0,0,0,0,0.0,0.9428090415820634,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
15,16,87_1,3,2.0548046676563256,0,0.0,5.556333333333334,2.261789900843037,2,0.4714045207910317,"unconventional Bitcoin mining m going to get you a bigger in my name"",  ve been waiting"", ","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, easier to use, more control, easier price comparisions, more discreet. (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers.<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*<br/>",0,3,1,0,0,0.9428090415820634,0.816496580927726,0.816496580927726,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
16,17,87_1,4,5.656854249492381,5,7.0710678118654755,6.727,1.0171532169081838,3,0.0,if you want I can write so basically the thinking part is up on you guys but like how can we do it all in one swoop who is going to write something but like how can we do it all in one.,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers.<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*<br/>",1,3,1,0,0,0.816496580927726,2.8284271247461903,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
17,18,87_1,11,16.49915822768611,0,0.0,10.116666666666667,0.7880525927175731,2,0.4714045207910317,"s go"",  search tab is so annoying I keep pissing search David so annoying","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>    <br/>Bad sides: More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers.<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction<br/>*<br/>*Arguments in favour<br/>",0,0,0,0,0,0.4714045207910317,0.4714045207910317,0.4714045207910317,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
18,19,87_1,15,17.795130420052185,5,4.546060565661952,4.003333333333333,2.3939081482425806,1,0.4714045207910317,"s a good site like what s a good site like what good sites we want to use no bad side you want to use"",  I should be men talk about which will let the good side","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*<br/>*Arguments in favour<br/>*<br/>*Arguments against<br/>*<br/>*Conclusion<br/>",1,2,0,0,0,0.0,0.816496580927726,0.4714045207910317,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
19,20,87_1,55,77.78174593052023,0,0.0,2.688333333333333,1.207213412045369,1,0.4714045207910317,online shopping is a modern-day invention audio version financial aid,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*<br/>*Arguments in favour:<br/>*Good sides:<br/>*    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*<br/>*Conclusion:<br/>",0,0,0,0,0,0.4714045207910317,0.0,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
20,21,87_1,70,98.99494936611666,0,0.0,3.8496666666666663,2.9908478545203345,2,1.699673171197595,more detail going tomorrow to eat that yeah,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*<br/>*<br/>*Arguments in favour:<br/>*Good sides:<br/>*    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",1,1,0,0,0,0.9428090415820634,0.816496580927726,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
21,22,87_1,17,24.984439601924677,0,0.4714045207910317,3.414333333333333,2.844651160023355,1,1.247219128924647,that is yours mine is on my head what should be the introduction,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gotten popular in recent years. <br/>*<br/>*Arguments in favour:<br/>*Good sides:<br/>*    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",0,0,0,0,0,0.4714045207910317,0.4714045207910317,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
22,23,87_1,10,14.613540144521982,10,12.552113589175152,2.529666666666667,2.3355773495124406,1,0.4714045207910317,"if I have an idea. m trying to do something about that."",  illusion","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gotten popular in recent years. <br/>*<br/>*Arguments in favour:<br/>*Good sides:<br/>*    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",0,0,0,0,0,0.0,0.4714045207910317,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
23,24,87_1,23,33.46972097616325,0,0.4714045207910317,3.0843333333333334,2.1865507591231954,2,1.4142135623730951,what do you think about the online shopping a popular in recent years inclusion,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gotten popular in recent years. <br/>*This has made our lives somehow easier and allowed us to access scams,<br/>*Arguments in favour:<br/>*Good sides:<br/>*    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",0,0,0,0,0,0.4714045207910317,0.9428090415820634,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
24,25,87_1,4,6.599663291074443,0,0.4714045207910317,5.055000000000001,4.1491966290676885,1,0.9428090415820634,to act to be accessed by scammers Maurice become ungovernable,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gotten popular in recent years. <br/>*This has made our lives somehow easier and allowed us to be more accessed to scams.<br/>*Arguments in favour:<br/>*Good sides:<br/>*    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",0,0,0,0,0,0.0,0.4714045207910317,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
25,26,87_1,1,1.8856180831641267,1,1.4142135623730951,5.559333333333332,4.346422385773793,1,0.816496580927726,somewhat easier Sun what,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gotten popular in recent years. <br/>*This has made our lives somewhat easier and allowed us to be more accessed to scams.<br/>*Arguments in favour:<br/>*Good sides:<br/>*    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",0,0,0,0,0,0.4714045207910317,0.4714045207910317,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
26,27,87_1,13,18.856180831641264,1,1.8856180831641267,7.597333333333332,3.063529808715575,2,0.816496580927726,Kesha basically now is the time for the question to be honest I see if you look at the example,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gotten popular in recent years. <br/>*This has made our lives somewhat easier and allowed us to be more accessed to scams. Has online shopping improved our lives?<br/>*Arguments in favour:<br/>*Good sides:<br/>*More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>*<br/>*Arguments against:<br/>*More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",0,1,0,0,0,0.0,0.816496580927726,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
27,28,87_1,0,0.9428090415820634,118,167.82000940160728,3.5073333333333334,3.013227984884132,1,0.4714045207910317,income what did you mean by that what did you mean by,"*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control, easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gotten popular in recent years. <br/>*This has made our lives somewhat easier and allowed us to be more accessed to scams. Has online shopping improved our lives?<br/>*Arguments in favour:<br/>*<br/>*<br/>*Arguments against:<br/>*<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",2,2,0,0,0,1.632993161855452,2.0548046676563256,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
28,29,87_1,11,9.030811456096044,2,2.8284271247461903,4.0200000000000005,2.0121795811176164,1,0.4714045207910317,"re supposed to question"",  m confident that you can easily shoes things you can choose"", ""yeah it what was the question","*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/><br/>1) decide on the role division in your group, put the roles each member is filling below<br/>Henri is encourager.<br/>Arnold is standard keeper.<br/>Mihkel is mediator.<br/>2) brainstorm arguments for and against this argument, put them all down below. <br/>Good sides:<br/>    More convenient, better prices, a larger variety of products, ease of use, more control (no forced decisoins), easier price comparisons, more discreet. (convenience)<br/>Bad sides:<br/>More packaging waste, shipping problems, risk of fraud, returns can be complicated (refunding), unfriendly or complicated websites (scam websites), no sales assitance, no support for local retailers<br/><br/>*The Growth of Online Shopping Has Greatly Improved Life for the Consumer<br/>*<br/>*Introduction:<br/>*Online shopping has gained popularity in the recent years. <br/>*This has made our lives somewhat easier and allowed us to be more accessed to scams. Has online shopping improved our lives?<br/>*Arguments in favour:<br/>*<br/>*<br/>*Arguments against:<br/>*<br/>*<br/>*Conclusion:<br/>*<br/>*<br/>*<br/>*<br/>",1,1,0,0,0,0.4714045207910317,1.247219128924647,0.0,0.0,0.0,87,eng,role-based,morning,6,C1,T15,english
